first_visit_date,views,days_since_first_visit,retained_users,total_users_cohort,retention_rate
2019-10-01,a. 0~5,0,5711,5711,1.0
2019-10-01,a. 0~5,1,1698,5711,0.29732095955174226
2019-10-01,a. 0~5,2,1571,5711,0.275083172824374
2019-10-01,a. 0~5,3,1870,5711,0.32743827700928035
2019-10-01,a. 0~5,4,1669,5711,0.29224303974785504
2019-10-01,a. 0~5,5,1580,5711,0.276659078970408
2019-10-01,a. 0~5,6,1547,5711,0.2708807564349501
2019-10-01,a. 0~5,7,1629,5711,0.2852390124321485
2019-10-01,a. 0~5,8,1553,5711,0.2719313605323061
2019-10-01,a. 0~5,9,1550,5711,0.2714060584836281
2019-10-01,a. 0~5,10,1705,5711,0.2985466643319909
2019-10-01,a. 0~5,11,1519,5711,0.2659779373139555
2019-10-01,a. 0~5,12,1640,5711,0.28716511994396776
2019-10-01,a. 0~5,13,1730,5711,0.3029241814043075
2019-10-01,a. 0~5,14,1709,5711,0.2992470670635615
2019-10-01,a. 0~5,15,1597,5711,0.27963579057958327
2019-10-01,a. 0~5,16,1499,5711,0.2624759236561023
2019-10-01,a. 0~5,17,1545,5711,0.2705305550691648
2019-10-01,a. 0~5,18,1421,5711,0.24881807039047452
2019-10-01,a. 0~5,19,1431,5711,0.25056907721940114
2019-10-01,a. 0~5,20,1445,5711,0.25302048677989847
2019-10-01,a. 0~5,21,1341,5711,0.23481001575906146
2019-10-01,a. 0~5,22,1374,5711,0.24058833829451934
2019-10-01,a. 0~5,23,1341,5711,0.23481001575906146
2019-10-01,a. 0~5,24,1379,5711,0.24146384170898266
2019-10-01,a. 0~5,25,1284,5711,0.22482927683417966
2019-10-01,a. 0~5,26,1241,5711,0.21729994746979514
2019-10-01,a. 0~5,27,1278,5711,0.22377867273682367
2019-10-01,a. 0~5,28,1217,5711,0.21309753108037122
2019-10-01,a. 0~5,29,1182,5711,0.206969007179128
2019-10-01,a. 0~5,30,1183,5711,0.20714410786202067
2019-10-01,b. 6~10,0,2420,2420,1.0
2019-10-01,b. 6~10,1,870,2420,0.359504132231405
2019-10-01,b. 6~10,2,775,2420,0.3202479338842975
2019-10-01,b. 6~10,3,857,2420,0.3541322314049587
2019-10-01,b. 6~10,4,748,2420,0.3090909090909091
2019-10-01,b. 6~10,5,687,2420,0.28388429752066113
2019-10-01,b. 6~10,6,691,2420,0.2855371900826446
2019-10-01,b. 6~10,7,717,2420,0.2962809917355372
2019-10-01,b. 6~10,8,723,2420,0.2987603305785124
2019-10-01,b. 6~10,9,681,2420,0.28140495867768595
2019-10-01,b. 6~10,10,747,2420,0.3086776859504132
2019-10-01,b. 6~10,11,673,2420,0.278099173553719
2019-10-01,b. 6~10,12,719,2420,0.29710743801652895
2019-10-01,b. 6~10,13,734,2420,0.30330578512396694
2019-10-01,b. 6~10,14,718,2420,0.29669421487603304
2019-10-01,b. 6~10,15,670,2420,0.2768595041322314
2019-10-01,b. 6~10,16,667,2420,0.2756198347107438
2019-10-01,b. 6~10,17,702,2420,0.2900826446280992
2019-10-01,b. 6~10,18,624,2420,0.2578512396694215
2019-10-01,b. 6~10,19,625,2420,0.25826446280991733
2019-10-01,b. 6~10,20,618,2420,0.2553719008264463
2019-10-01,b. 6~10,21,583,2420,0.2409090909090909
2019-10-01,b. 6~10,22,582,2420,0.24049586776859505
2019-10-01,b. 6~10,23,579,2420,0.23925619834710743
2019-10-01,b. 6~10,24,649,2420,0.2681818181818182
2019-10-01,b. 6~10,25,561,2420,0.2318181818181818
2019-10-01,b. 6~10,26,568,2420,0.23471074380165288
