first_visit_date,days_since_first_visit,retained_users,total_users_cohort,retention_rate
2019-10-01,0,12799,12799,1.0
2019-10-01,1,4654,12799,0.36362215798109226
2019-10-01,2,4103,12799,0.3205719196812251
2019-10-01,3,4596,12799,0.3590905539495273
2019-10-01,4,4012,12799,0.31346198921790763
2019-10-01,5,3766,12799,0.2942417376357528
2019-10-01,6,3735,12799,0.29181967341198534
2019-10-01,7,3848,12799,0.3006484881631378
2019-10-01,8,3732,12799,0.29158528010000784
2019-10-01,9,3693,12799,0.28853816704430035
2019-10-01,10,3950,12799,0.3086178607703727
2019-10-01,11,3577,12799,0.2794749589811704
2019-10-01,12,3790,12799,0.2961168841315728
2019-10-01,13,3894,12799,0.3042425189467927
2019-10-01,14,3965,12799,0.30978982733026017
2019-10-01,15,3658,12799,0.28580357840456283
2019-10-01,16,3531,12799,0.2758809281975154
2019-10-01,17,3644,12799,0.28470974294866785
2019-10-01,18,3311,12799,0.25869208531916554
2019-10-01,19,3283,12799,0.2565044144073756
2019-10-01,20,3230,12799,0.25236346589577313
2019-10-01,21,3103,12799,0.2424408156887257
2019-10-01,22,3148,12799,0.24595671536838815
2019-10-01,23,3028,12799,0.23658098288928822
2019-10-01,24,3290,12799,0.25705133213532305
2019-10-01,25,2916,12799,0.2278302992421283
2019-10-01,26,2859,12799,0.22337682631455583
2019-10-01,27,2951,12799,0.23056488788186577
2019-10-01,28,2773,12799,0.21665755137120088
2019-10-01,29,2734,12799,0.2136104383154934
2019-10-01,30,2746,12799,0.2145480115634034
2019-10-02,0,8420,8420,1.0
2019-10-02,1,2463,8420,0.29251781472684085
2019-10-02,2,2618,8420,0.31092636579572447
2019-10-02,3,2188,8420,0.25985748218527316
2019-10-02,4,2090,8420,0.24821852731591448
2019-10-02,5,2067,8420,0.24548693586698336
2019-10-02,6,2068,8420,0.24560570071258908
2019-10-02,7,2118,8420,0.25154394299287414
2019-10-02,8,2103,8420,0.2497624703087886
2019-10-02,9,2281,8420,0.27090261282660333
2019-10-02,10,2039,8420,0.24216152019002377
2019-10-02,11,2162,8420,0.25676959619952494
2019-10-02,12,2244,8420,0.2665083135391924
2019-10-02,13,2180,8420,0.2589073634204275
2019-10-02,14,2045,8420,0.24287410926365796
2019-10-02,15,1951,8420,0.2317102137767221
2019-10-02,16,2140,8420,0.25415676959619954
2019-10-02,17,1883,8420,0.22363420427553443
2019-10-02,18,1891,8420,0.22458432304038004
2019-10-02,19,1816,8420,0.2156769596199525
2019-10-02,20,1801,8420,0.213895486935867
2019-10-02,21,1782,8420,0.21163895486935866
2019-10-02,22,1650,8420,0.19596199524940616
2019-10-02,23,1861,8420,0.22102137767220903
2019-10-02,24,1653,8420,0.1963182897862233
2019-10-02,25,1608,8420,0.19097387173396674
2019-10-02,26,1655,8420,0.19655581947743467
2019-10-02,27,1571,8420,0.18657957244655582
2019-10-02,28,1525,8420,0.18111638954869358
2019-10-02,29,1521,8420,0.1806413301662708
2019-10-03,0,6411,6411,1.0
2019-10-03,1,2005,6411,0.3127437217282795
2019-10-03,2,1497,6411,0.23350491343004212
2019-10-03,3,1422,6411,0.2218062704726252
2019-10-03,4,1446,6411,0.2255498362189986
2019-10-03,5,1471,6411,0.2294493838714709
2019-10-03,6,1401,6411,0.21853065044454842
2019-10-03,7,1416,6411,0.22087037903603182
2019-10-03,8,1554,6411,0.24239588207767898
2019-10-03,9,1457,6411,0.22726563718608642
2019-10-03,10,1524,6411,0.2377164248947122
2019-10-03,11,1635,6411,0.2550304164716893
2019-10-03,12,1620,6411,0.2526906878802059
2019-10-03,13,1449,6411,0.22601778193729527
2019-10-03,14,1475,6411,0.2300733114958665
2019-10-03,15,1460,6411,0.2277335829043831
2019-10-03,16,1321,6411,0.20605209795663704
2019-10-03,17,1379,6411,0.2150990485103728
2019-10-03,18,1279,6411,0.19950085790048355
2019-10-03,19,1275,6411,0.19887693027608797
2019-10-03,20,1240,6411,0.19341756356262674
2019-10-03,21,1214,6411,0.18936203400405552
2019-10-03,22,1314,6411,0.20496022461394478
2019-10-03,23,1142,6411,0.17813133676493526
2019-10-03,24,1182,6411,0.18437061300889096
2019-10-03,25,1154,6411,0.180003119638122
2019-10-03,26,1156,6411,0.18031508345031977
2019-10-03,27,1095,6411,0.17080018717828732
2019-10-03,28,1051,6411,0.16393698330993606
2019-10-04,0,6688,6688,1.0
2019-10-04,1,1763,6688,0.26360645933014354
2019-10-04,2,1423,6688,0.21276913875598086
2019-10-04,3,1316,6688,0.19677033492822968
2019-10-04,4,1358,6688,0.20305023923444976
2019-10-04,5,1392,6688,0.20813397129186603
2019-10-04,6,1359,6688,0.20319976076555024
2019-10-04,7,1508,6688,0.22547846889952153
2019-10-04,8,1407,6688,0.21037679425837322
2019-10-04,9,1599,6688,0.23908492822966507
2019-10-04,10,1562,6688,0.23355263157894737
2019-10-04,11,1533,6688,0.22921650717703348
2019-10-04,12,1456,6688,0.21770334928229665
2019-10-04,13,1412,6688,0.2111244019138756
2019-10-04,14,1450,6688,0.21680622009569378
